GSM_ID	SRRs	Batch
GSM5525955	SRR15501909,SRR15501910,SRR15501911,SRR15501912	1
GSM5525956	SRR15501913,SRR15501914,SRR15501915,SRR15501916	1
GSM5525957	SRR15501917,SRR15501918,SRR15501919,SRR15501920	1
GSM5525963	SRR15501939,SRR15501940	1
GSM6614354	SRR21787596,SRR21787597	2
GSM6614355	SRR21787594,SRR21787595	2
GSM6614356	SRR21787590,SRR21787591,SRR21787592,SRR21787593	2
GSM6614357	SRR21787586,SRR21787587,SRR21787588,SRR21787589	2
GSM6614358	SRR21787582,SRR21787583,SRR21787584,SRR21787585	2
GSM6614359	SRR21787580,SRR21787581	2
